add-none,2,100,400,640229,1600,0
add-none,2,1000,4000,588566,147,0
add-none,2,10000,40000,1283605,32,818
add-none,2,100000,400000,8040891,20,619
add-none,4,100,800,916087,1145,0
add-none,4,1000,8000,787131,98,0
add-none,4,10000,80000,2878376,35,-2273
add-none,4,100000,800000,28026298,35,-31982
add-none,8,100,1600,1739350,1087,0
add-none,8,1000,16000,1420734,88,0
add-none,8,10000,160000,5210464,32,-3842
add-none,8,100000,1600000,66493807,41,-30396
add-none,12,100,2400,2275432,948,0
add-none,12,1000,24000,2322194,96,0
add-none,12,10000,240000,7349122,30,-1881
add-none,12,100000,2400000,95288072,39,27422
add-yield-none,2,10,40,784739,19618,6
add-yield-none,2,20,80,4669514,58368,15
add-yield-none,2,40,160,1258850,7867,11
add-yield-none,2,80,320,1995926,6237,13
add-yield-none,2,100,400,3719397,9298,13
add-yield-none,2,1000,4000,16468608,4117,15
add-yield-none,2,10000,40000,158536563,3963,-747
add-yield-none,2,100000,400000,1520740369,3801,3151
add-yield-none,4,10,80,43130242,539128,0
add-yield-none,4,20,160,45232467,282702,0
add-yield-none,4,40,320,36291776,113411,0
add-yield-none,4,80,640,60345405,94289,0
add-yield-none,4,100,800,45343548,56679,0
add-yield-none,4,1000,8000,61331381,7666,0
add-yield-none,4,10000,80000,350697507,4383,-3080
add-yield-none,4,100000,800000,1619504209,2024,-26582
add-yield-none,8,10,160,1803137,11269,16
add-yield-none,8,20,320,1990405,6220,26
add-yield-none,8,40,640,3008579,4700,58
add-yield-none,8,80,1280,5497432,4294,37
add-yield-none,8,100,1600,6295227,3934,82
add-yield-none,8,1000,16000,37508135,2344,808
add-yield-none,8,10000,160000,210479044,1315,-16752
add-yield-none,8,100000,1600000,1365446908,853,-33025
add-yield-none,12,10,240,680450,2835,0
add-yield-none,12,20,480,814728,1697,26
add-yield-none,12,40,960,4835477,5036,62
add-yield-none,12,80,1920,4251931,2214,-14
add-yield-none,12,100,2400,3193617,1330,122
add-yield-none,12,1000,24000,37236465,1551,999
add-yield-none,12,10000,240000,203576422,848,-5011
add-yield-none,12,100000,2400000,1497473222,623,-29320
add-none,1,100,200,19109729,95548,0
add-yield-none,1,100,200,38410898,192054,0
add-none,1,1000,2000,18650050,9325,0
add-yield-none,1,1000,2000,34919083,17459,0
add-none,1,10000,20000,10879622,543,0
add-yield-none,1,10000,20000,152459968,7622,0
add-none,1,100000,200000,15840822,79,0
add-yield-none,1,100000,200000,582475877,2912,0
add-none,2,100,400,23334325,58335,0
add-yield-none,2,100,400,34316792,85791,0
add-none,2,1000,4000,14545174,3636,-275
add-yield-none,2,1000,4000,47342873,11835,0
add-none,2,10000,40000,22342590,558,0
add-yield-none,2,10000,40000,143553464,3588,-2824
add-none,2,100000,400000,16800454,42,0
add-yield-none,2,100000,400000,1066425246,2666,11983
add-none,4,100,800,25698443,32123,-4
add-yield-none,4,100,800,37055240,46319,0
add-none,4,1000,8000,14483903,1810,291
add-yield-none,4,1000,8000,49602862,6200,420
add-none,4,10000,80000,21911886,273,18
add-yield-none,4,10000,80000,223716746,2796,0
add-none,4,100000,800000,41019255,51,-31922
add-yield-none,4,100000,800000,906997238,1133,-23091
add-yield-m,1,10000,20000,174755401,8737,0
add-yield-c,1,10000,20000,13511125,675,0
add-yield-s,1,10000,20000,114886090,5744,0
add-m,1,10000,20000,23076037,1153,0
add-c,1,10000,20000,21640889,1082,0
add-s,1,10000,20000,17168390,858,0
add-yield-m,2,10000,40000,147489746,3687,0
add-yield-c,2,10000,40000,52770178,1319,0
add-yield-s,2,10000,40000,632021438,15800,0
add-m,2,10000,40000,94375885,2359,0
add-c,2,10000,40000,24419774,610,0
add-s,2,10000,40000,20163047,504,0
add-yield-m,4,10000,80000,611153343,7639,0
add-yield-c,4,10000,80000,46515627,581,0
add-yield-s,4,10000,80000,302852938,3785,0
add-m,4,10000,80000,63139888,789,0
add-c,4,10000,80000,42117532,526,0
add-s,4,10000,80000,28670216,358,0
add-yield-m,8,10000,160000,1566255889,9789,0
add-yield-c,8,10000,160000,50386105,314,0
add-yield-s,8,10000,160000,1993211415,12457,0
add-m,8,10000,160000,261585763,1634,0
add-c,8,10000,160000,71916511,449,0
add-s,8,10000,160000,55803572,348,0
add-yield-m,12,10000,240000,2796099004,11650,0
add-yield-c,12,10000,240000,68813236,286,0
add-yield-s,12,10000,240000,5155003289,21479,0
add-m,12,10000,240000,198450520,826,0
add-c,12,10000,240000,78320829,326,0
add-s,12,10000,240000,88966090,370,0
